visit_date,site_id,pit_tag_ref,swab_id,bd_load,collect_siteid,year
2020-08-16,10225,900043000201211,RKS31587,0,10593,2020
2020-08-16,10225,900043000164532,RKS31588,0,10055,2020
2020-08-16,10225,982091062745982,RKS31589,0,10055,2020
2020-08-16,10225,982091062745999,RKS31590,0,10593,2020
2020-08-16,10225,900043000164531,RKS31586,0,10206,2020
2020-08-16,10225,900043000201364,RKS31591,0,10593,2020
2020-08-16,10225,982091062746074,RKS31592,0,10206,2020
2020-08-16,10225,900043000164821,RKS31593,0,10206,2020
2020-08-17,10223,982091062745969,RKS31603,0,10593,2020
2020-08-16,10225,982091062746034,RKS31594,0,10593,2020
2020-08-17,10223,900043000164839,RKS31595,0,10206,2020
2020-08-17,10223,900043000164553,RKS31596,0,10206,2020
2020-08-17,10223,982091062745988,RKS31597,0,10206,2020
2020-08-17,10223,900043000164836,RKS31598,0,10206,2020
2020-08-17,10223,982091062746103,RKS31599,0,10593,2020
2020-08-17,10223,900043000201036,RKS31600,0,10593,2020
2020-08-17,10223,900043000164886,RKS31601,0,10206,2020
2020-08-17,10223,900043000201329,RKS31602,0,10593,2020
2020-08-18,10225,900043000201070,RKS31604,0,10593,2020
2020-08-18,10225,900043000201119,RKS31605,0,10593,2020
2020-08-18,10225,982091062746028,RKS31606,0,10593,2020
2020-08-18,10225,900043000164872,RKS31607,0,10206,2020
2020-08-18,10225,982091062746110,RKS31608,0,10206,2020
2020-08-18,10225,900067000117149,RKS31609,830.816,NA,2020
2020-08-18,10225,900043000164524,RKS31610,0,10055,2020
2020-08-18,10225,900043000201155,RKS31611,0,10206,2020
2020-08-10,70470,900043000164712,RKS31088,0,70567,2020
2020-08-10,70470,900043000165197,RKS31086,NA,70567,2020
2020-08-10,70470,900043000201248,RKS31087,6673.176,70567,2020
2020-08-16,10223,900043000201028,RKS30960,0,10593,2020
2020-08-16,10223,900043000201243,RKS30962,0,10593,2020
2020-08-16,10223,982091062745989,RKS30961,0,10055,2020
2020-08-16,10223,982126058790662,RKS30959,1335.096,NA,2020
2020-08-18,10223,900043000201283,RKS30991,778.848,10593,2020
2020-08-18,10223,900043000164869,RKS30992,201.368,10206,2020
2020-08-18,10223,900043000201446,RKS30990,0,10593,2020
2020-08-16,10223,900043000164571,RKS30957,128.16,10055,2020
2020-08-18,10223,982091062746026,RKS30997,0,10206,2020
2020-08-16,10223,900043000164521,RKS30970,0,10055,2020
2020-08-16,10223,982091062745981,RKS30950,0,10055,2020
2020-08-16,10223,900043000164813,RKS30952,0,10206,2020
2020-08-16,10223,900043000201171,RKS30958,0,10593,2020
2020-08-18,10223,900043000164522,RKS30988,223.6,10055,2020
2020-08-18,10223,900043000201406,RKS30989,0,10593,2020
2020-08-16,10223,982091062745953,RKS30956,0,10593,2020
2020-08-16,10223,900043000201299,RKS30951,0,10593,2020
2020-08-16,10223,982091062745994,RKS30955,0,10055,2020
2020-08-16,10223,900043000164820,RKS30968,0,10206,2020
2020-08-16,10223,900043000164824,RKS30969,0,10206,2020
2020-08-16,10223,900043000201247,RKS30954,0,10593,2020
2020-08-16,10223,900043000201426,RKS30963,0,10593,2020
2020-08-18,10223,900043000164600,RKS30995,0,10206,2020
2020-08-18,10223,900043000201453,RKS30996,106.04,10593,2020
2020-08-10,70481,900043000201306,RKS30939,3475.536,70397,2020
2020-08-17,10225,982091062745976,RKS30982,2071.632,10593,2020
2020-08-17,10225,900043000201470,RKS30983,692.128,10593,2020
2020-08-18,10223,982091062745997,RKS30998,0,10593,2020
2020-08-18,10223,900043000164507,RKS30993,1444.008,10055,2020
2020-08-10,70481,900043000201391,RKS30940,248936.416,70397,2020
2020-08-16,10223,900043000201452,RKS30953,140.04,10593,2020
2020-08-12,70470,900043000164491,RKS30947,287808.736,70397,2020
2020-08-18,10223,900043000164561,RKS30994,0,10206,2020
2020-08-10,70481,900043000164731,RKS30941,3479.296,70567,2020
2020-08-16,10223,900043000164854,RKS30966,0,10206,2020
2020-08-10,70481,900043000164502,RKS30938,1205.624,70567,2020
2020-08-11,70481,900043000164485,RKS30945,4125.64,70567,2020
2020-08-16,10223,900043000201304,RKS30967,0,10593,2020
2020-08-12,70470,900043000201056,RKS30949,742035.472,70397,2020
2020-08-12,70470,900043000201424,RKS30946,4776.344,70567,2020
2020-08-12,70470,900043000165164,RKS30948,220.808,70567,2020
2020-08-17,10225,900043000164861,RKS30987,0,10206,2020
2020-08-16,10223,900043000164598,RKS30964,0,10206,2020
2020-08-17,10225,900043000201232,RKS30986,221.944,10593,2020
2020-08-11,70481,900043000201024,RKS30943,23558.56,70567,2020
2020-08-11,70481,900043000201333,RKS30944,173012.016,70567,2020
2020-08-16,10223,900043000201250,RKS30965,0,10593,2020
2020-08-11,70481,900043000201450,RKS30942,49315.016,70567,2020
2020-08-17,10225,982091062745974,RKS30985,0,10206,2020
2020-08-17,10225,900043000164807,RKS30984,169.264,10206,2020
2020-08-18,10223,900043000201250,NA,NA,10593,2020
2020-08-18,10223,900043000201304,NA,NA,10593,2020
2020-08-18,10223,900043000201243,NA,NA,10593,2020
2020-08-18,10223,900043000164886,NA,NA,10206,2020
2020-08-18,10223,900043000164553,NA,NA,10206,2020
2020-08-18,10223,900043000201171,NA,NA,10593,2020
2020-08-18,10223,900043000164521,NA,NA,10055,2020
2020-08-18,10223,900043000201036,NA,NA,10593,2020
2020-08-18,10223,900043000164813,NA,NA,10206,2020
2020-08-11,70481,900043000201306,NA,NA,70397,2020
2020-08-17,10223,900043000164521,NA,NA,10055,2020
2020-08-17,10223,900043000201299,NA,NA,10593,2020
2020-08-18,10225,900043000164807,NA,NA,10206,2020
2020-08-17,10223,900043000164820,NA,NA,10206,2020
2020-08-17,10225,982091062746034,NA,NA,10593,2020
2020-08-17,10225,900043000164532,NA,NA,10055,2020
2021-06-18,70470,900043000164712,RKS32090,0,70567,2021
2021-06-19,70470,900043000164712,NA,NA,70567,2021
2021-06-19,70470,900043000165197,RKS31853,0,70567,2021
2021-06-19,70470,900043000164794,RKS31854,0,70567,2021
2021-06-19,70470,900043000164723,RKS31855,2803.616,70567,2021
2021-06-17,70481,900043000164718,RKS31846,0,70567,2021
2021-06-17,70481,900043000164750,RKS31847,7105.624,70567,2021
2021-06-17,70481,900043000164717,RKS31848,0,70567,2021
2021-06-17,70481,900043000201391,RKS31849,739.272,70397,2021
2021-06-18,70481,900043000164747,RKS31850,247.656,70567,2021
2021-06-18,70481,900043000201459,NA,NA,70567,2021
2021-06-18,70481,900043000164734,NA,NA,70567,2021
2021-06-18,70481,900043000164717,NA,NA,70567,2021
2021-06-18,70481,900043000201391,NA,NA,70397,2021
2021-06-18,70481,900043000164502,RKS31851,0,70567,2021
2021-06-18,70481,900043000201256,NA,NA,70567,2021
2021-06-18,70481,900043000201194,RKS31852,608.592,70567,2021
2021-06-18,70481,982000407072587,NA,NA,70397,2021
2021-06-18,70481,900043000164412,NA,NA,70397,2021
2021-06-19,70481,900043000164502,NA,NA,70567,2021
2021-06-19,70481,900043000164485,RKS32091,8764.744,70567,2021
2021-06-19,70481,982000407072587,NA,NA,70397,2021
2021-06-19,70481,900043000164412,NA,NA,70397,2021
2021-06-19,70481,900043000201391,NA,NA,70397,2021
2021-07-25,10225,900043000201470,RKS32767,2189.992,10593,2021
2021-07-25,10225,982091062746010,RKS32768,856.904,10593,2021
2021-07-25,10225,982091062746035,RKS32769,818.944,10593,2021
2021-07-25,10225,900043000165179,RKS32770,3391.208,10593,2021
2021-07-25,10225,900043000201039,RKS32771,112.664,10593,2021
2021-07-25,10225,900043000201129,RKS32772,127.104,10593,2021
2021-07-25,10225,982091062746037,RKS32773,524.584,10593,2021
2021-07-25,10225,982091062745984,RKS32774,1791.28,10593,2021
2021-07-25,10225,900043000201401,RKS32775,0,10593,2021
2021-07-25,10225,900043000201128,RKS32776,526.728,10593,2021
2021-07-25,10225,900043000201364,RKS32777,0,10593,2021
2021-07-26,10225,982091062745950,RKS32432,9078.152,10206,2021
2021-07-26,10225,982091062745976,RKS32433,227.392,10593,2021
2021-07-26,10225,900043000201380,RKS32434,0,10206,2021
2021-07-26,10225,982091062746037,NA,NA,10593,2021
2021-07-26,10225,900043000201129,NA,NA,10593,2021
2021-07-26,10225,900067000117149,RKS32435,0,NA,2021
2021-07-27,10225,982091062746037,NA,NA,10593,2021
2021-07-27,10225,982091062745948,RKS32785,256.232,10206,2021
2021-07-27,10225,982091062746010,NA,NA,10593,2021
2021-07-27,10225,900043000201269,RKS32786,1418.504,10593,2021
2021-07-27,10225,900067000117149,NA,NA,NA,2021
2021-07-25,10223,900043000201429,RKS32414,927.416,10593,2021
2021-07-25,10223,900043000165119,RKS32415,954.024,10593,2021
2021-07-25,10223,900043000201330,RKS32416,0,10593,2021
2021-07-25,10223,982126058791264,RKS32417,13799.88,NA,2021
2021-07-25,10223,982091062746025,RKS32418,467742.672,10206,2021
2021-07-25,10223,900043000201304,RKS32419,944.2,10593,2021
2021-07-25,10223,900043000201416,RKS32420,302.784,10593,2021
2021-07-25,10223,900043000164858,RKS32421,0,10055,2021
2021-07-25,10223,900043000164518,RKS32422,0,10206,2021
2021-07-25,10223,900043000165152,RKS32423,1026.416,10593,2021
2021-07-25,10223,900043000164535,RKS32424,108.376,10055,2021
2021-07-25,10223,900043000201299,RKS32425,393.264,10593,2021
2021-07-25,10223,900043000201410,RKS32426,234.264,10593,2021
2021-07-25,10223,982091062745964,RKS32427,0,10593,2021
2021-07-26,10223,982091062745994,RKS32778,3279.384,10055,2021
2021-07-26,10223,982091062746103,RKS32779,356.432,10593,2021
2021-07-26,10223,900043000201299,NA,NA,10593,2021
2021-07-26,10223,900043000165119,NA,NA,10593,2021
2021-07-26,10223,900043000201330,NA,NA,10593,2021
2021-07-26,10223,900043000201429,NA,NA,10593,2021
2021-07-26,10223,900043000201011,RKS32780,1317.992,10593,2021
2021-07-26,10223,900043000164824,RKS32781,1338.112,10206,2021
2021-07-26,10223,900043000201008,RKS32782,0,10593,2021
2021-07-26,10223,900043000164530,RKS32783,1985.616,10206,2021
2021-07-26,10223,982126058790662,RKS32784,0,NA,2021
2021-07-26,10223,900043000164858,NA,NA,10055,2021
2021-07-26,10223,900043000201410,NA,NA,10593,2021
2021-07-27,10223,982126058791264,NA,NA,NA,2021
2021-07-27,10223,900043000201330,NA,NA,10593,2021
2021-07-27,10223,900043000201274,RKS32436,51.744,10593,2021
2021-07-27,10223,900043000164858,NA,NA,10055,2021
2021-07-27,10223,900043000165152,NA,NA,10593,2021
2021-07-27,10223,900043000201416,NA,NA,10593,2021
2021-07-27,10223,982126058790662,NA,NA,NA,2021
2021-07-27,10223,900043000164518,NA,NA,10206,2021
2021-07-27,10223,982091062745944,RKS32437,53722.416,10593,2021
2021-07-27,10223,900043000201299,NA,NA,10593,2021
2021-08-04,70481,900043000201256,RKS32840,842.728,70567,2021
2021-08-04,70481,900043000201445,RKS32841,1021.696,70397,2021
2021-08-04,70481,900043000200922,RKS32842,117320.208,70567,2021
2021-08-04,70481,900043000164487,RKS32843,0,70397,2021
2021-08-04,70481,900043000201391,RKS32844,10638.592,70397,2021
2021-08-04,70481,900043000201076,RKS32845,829.384,70397,2021
2021-08-04,70481,900043000201450,RKS32846,31170.456,70567,2021
2021-08-05,70481,900043000201391,NA,NA,70397,2021
2021-08-05,70481,900043000165136,RKS32849,21156.848,70567,2021
2021-08-05,70481,900043000201076,NA,NA,70397,2021
2021-08-05,70481,900043000164444,RKS32850,539.264,70397,2021
2021-08-06,70481,900043000201194,RKS32858,3487.824,70567,2021
2021-08-06,70481,900043000164455,RKS32859,3568.792,70397,2021
2021-08-06,70481,900043000201076,NA,NA,70397,2021
2021-08-06,70481,900043000201450,NA,NA,70567,2021
2021-08-06,70481,900043000200922,NA,NA,70567,2021
2021-08-06,70481,900043000200976,RKS32860,82916.24,70567,2021
2021-08-06,70481,900043000201391,NA,NA,70397,2021
2021-08-06,70481,900043000164717,RKS32444,29083.832,70567,2021
2021-08-06,70481,900043000164750,RKS32445,5251.936,70567,2021
2021-09-05,10225,900043000201364,RKS33711,2271.096,10593,2021
2021-09-05,10225,982091062746028,RKS33712,612.984,10593,2021
2021-09-05,10225,982091062745948,RKS33713,1056.888,10206,2021
2021-09-05,10225,982091062746010,RKS33714,390.664,10593,2021
2021-09-05,10225,900043000164872,RKS33715,0,10206,2021
2021-09-05,10225,900043000164855,RKS33716,8178.4,10206,2021
2021-09-05,10225,900043000201401,RKS33717,0,10593,2021
2021-09-05,10225,900043000201129,RKS33718,1474.376,10593,2021
2021-09-06,10225,900043000201364,NA,NA,10593,2021
2021-09-06,10225,982091062746034,RKS33910,0,10593,2021
2021-09-06,10225,900043000201129,NA,NA,10593,2021
2021-09-06,10225,982091062746035,RKS33911,1866.288,10593,2021
2021-09-06,10225,900043000164855,NA,NA,10206,2021
2021-09-06,10225,900043000201010,RKS33912,0,10593,2021
2021-09-06,10225,982091062745948,NA,NA,10206,2021
2021-09-06,10225,900043000201448,RKS33913,2693.464,10593,2021
2021-09-07,10225,900043000201085,RKS33620,744.496,10593,2021
2021-09-07,10225,900043000201109,RKS33621,0,10593,2021
2021-09-07,10225,900067000117149,RKS33622,1854.552,NA,2021
2021-09-07,10225,982091062745948,NA,NA,10206,2021
2021-09-07,10225,900043000201223,RKS33623,3010.752,10593,2021
2021-09-07,10225,900043000201129,NA,NA,10593,2021
2021-09-07,10225,982091062746034,NA,NA,10593,2021
2021-09-07,10225,900043000201128,RKS33634,4425.744,10593,2021
2021-09-07,10225,982091062746028,NA,NA,10593,2021
2021-09-07,10225,900043000201401,NA,NA,10593,2021
2021-09-07,10225,900043000201099,RKS33635,0,10593,2021
2021-09-05,10223,900043000164824,RKS33895,15601.832,10206,2021
2021-09-05,10223,982091062745643,RKS33896,188.984,10593,2021
2021-09-05,10223,900043000201274,RKS33897,7404.36,10593,2021
2021-09-05,10223,982091062745944,RKS33898,3476.096,10593,2021
2021-09-05,10223,900043000165115,RKS33899,9492.504,10593,2021
2021-09-05,10223,900043000201429,RKS33900,129.992,10593,2021
2021-09-05,10223,900043000165119,RKS33901,0,10593,2021
2021-09-05,10223,900043000165152,RKS33902,9373.608,10593,2021
2021-09-05,10223,900043000201330,RKS33903,826.504,10593,2021
2021-09-05,10223,982091062745707,RKS33904,22714.344,10593,2021
2021-09-05,10223,900043000200555,RKS33905,481732.256,NA,2021
2021-09-05,10223,982091062745657,RKS33906,778599.24,10055,2021
2021-09-05,10223,982091062746103,RKS33907,9710.408,10593,2021
2021-09-05,10223,900043000164530,RKS33908,4382.544,10206,2021
2021-09-05,10223,900043000200587,RKS33909,133.24,NA,2021
2021-09-06,10223,900043000201304,RKS33603,420.368,10593,2021
2021-09-06,10223,900043000200587,NA,NA,NA,2021
2021-09-06,10223,982091062745944,NA,NA,10593,2021
2021-09-06,10223,900043000201011,RKS33604,8848.496,10593,2021
2021-09-06,10223,982126058790662,RKS33605,792.328,NA,2021
2021-09-06,10223,900043000200744,RKS33606,435.928,NA,2021
2021-09-06,10223,900043000165119,NA,NA,10593,2021
2021-09-06,10223,982091062745707,NA,NA,10593,2021
2021-09-06,10223,900043000164535,RKS33607,2569.712,10055,2021
2021-09-06,10223,900043000201299,RKS33608,20009.736,10593,2021
2021-09-06,10223,900043000201008,RKS33609,519.072,10593,2021
2021-09-06,10223,900043000164824,NA,NA,10206,2021
2021-09-06,10223,900043000200555,NA,NA,NA,2021
2021-09-07,10223,900043000201416,RKS33733,122,10593,2021
2021-09-07,10223,900043000201274,NA,NA,10593,2021
2021-09-07,10223,900043000200587,NA,NA,NA,2021
2021-09-07,10223,982091062745666,RKS33734,9022.904,10055,2021
2021-09-07,10223,900043000201426,RKS33735,0,10593,2021
2021-09-07,10223,982091062746103,NA,NA,10593,2021
2021-09-07,10223,982091062745707,NA,NA,10593,2021
2021-09-07,10223,900043000201410,RKS33736,0,10593,2021
2021-09-07,10223,900043000201304,NA,NA,10593,2021
2021-09-07,10223,982091062745726,RKS33737,1094.88,10055,2021
2021-09-07,10223,982091062745657,NA,NA,10055,2021
2021-09-07,10223,900043000164535,NA,NA,10055,2021
2021-09-07,10223,900043000200616,RKS33738,0,NA,2021
2021-09-07,10223,900043000165119,NA,NA,10593,2021
2021-09-07,10223,900043000164858,RKS33739,4149.008,10055,2021
2021-09-07,10223,982091062745643,NA,NA,10593,2021
2021-09-07,10223,900043000200541,RKS33740,2367156.512,NA,2021
2022-07-13,10223,900043000201429,RKS35018,NA,10593,2022
2022-07-13,10223,900043000164858,RKS35019,NA,10055,2022
2022-07-13,10223,900043000164535,RKS35020,NA,10055,2022
2022-07-13,10223,982091062745944,RKS35021,NA,10593,2022
2022-07-13,10223,982091062746022,RKS35022,NA,10593,2022
2022-07-13,10223,900043000201426,RKS35023,NA,10593,2022
2022-07-13,10223,982126058790662,RKS35024,NA,NA,2022
2022-07-13,10223,900043000164896,RKS35025,NA,10206,2022
2022-07-13,10223,900043000201299,RKS35026,NA,10593,2022
2022-07-13,10223,982091062745994,RKS35027,NA,10055,2022
2022-07-13,10223,900043000201330,RKS35028,NA,10593,2022
2022-07-13,10223,900043000201304,RKS35017,NA,10593,2022
2022-07-13,10223,982091062745964,RKS35013,NA,10593,2022
2022-07-13,10223,900043000165119,RKS35012,NA,10593,2022
2022-07-13,10225,982091062746010,RKS34958,NA,10593,2022
2022-07-13,10225,982091062745966,RKS34959,NA,10206,2022
2022-07-13,10225,900043000201364,RKS34960,NA,10593,2022
2022-07-13,10225,900043000201018,RKS34961,NA,10593,2022
2022-07-13,10225,900043000201401,NA,NA,10593,2022
2022-07-13,10225,982091062745950,RKS34962,NA,10206,2022
2022-07-13,10225,900067000117149,RKS34963,NA,NA,2022
2022-07-13,10225,900043000201269,RKS34964,NA,10593,2022
2022-07-13,10225,900043000201039,RKS34965,NA,10593,2022
2022-07-13,10225,900043000164855,RKS34966,NA,10206,2022
2022-07-13,10225,982091062746034,RKS34967,NA,10593,2022
2022-07-14,10223,900043000164858,NA,NA,10055,2022
2022-07-14,10223,982091062745944,NA,NA,10593,2022
2022-07-14,10223,900043000201426,NA,NA,10593,2022
2022-07-14,10223,982126058790662,NA,NA,NA,2022
2022-07-14,10223,900043000165152,RKS35042,NA,10593,2022
2022-07-14,10223,900043000165119,NA,NA,10593,2022
2022-07-14,10223,982091062746103,RKS35043,NA,10593,2022
2022-07-14,10223,982126058791264,RKS35044,NA,NA,2022
2022-07-14,10223,900043000201429,NA,NA,10593,2022
2022-07-14,10223,900043000164535,NA,NA,10055,2022
2022-07-14,10223,982091062745964,NA,NA,10593,2022
2022-07-14,10223,900043000164530,RKS35045,NA,10206,2022
2022-07-14,10223,982091062745643,RKS35046,NA,10593,2022
2022-07-14,10225,900043000201085,RKS34968,NA,10593,2022
2022-07-14,10225,900043000201223,RKS34969,NA,10593,2022
2022-07-14,10225,982091062745948,RKS34970,NA,10206,2022
2022-07-14,10225,900067000117149,NA,NA,NA,2022
2022-07-14,10225,982091062746010,NA,NA,10593,2022
2022-07-14,10225,900043000201010,RKS34971,NA,10593,2022
2022-07-14,10225,900043000201080,RKS34972,NA,10593,2022
2022-07-14,10225,900043000201269,NA,NA,10593,2022
2022-07-15,10223,900043000165152,NA,NA,10593,2022
2022-07-15,10223,982091062745964,NA,NA,10593,2022
2022-07-15,10223,900043000165119,NA,NA,10593,2022
2022-07-15,10223,900043000201299,NA,NA,10593,2022
2022-07-15,10223,982091062745643,NA,NA,10593,2022
2022-07-15,10223,900043000200848,RKS35047,NA,NA,2022
2022-07-15,10223,900043000200555,RKS35048,NA,NA,2022
2022-07-15,10223,900043000201011,RKS35050,NA,10593,2022
2022-07-15,10223,900043000164535,NA,NA,10055,2022
2022-07-15,10223,982091062745944,NA,NA,10593,2022
2022-07-15,10223,900043000164858,NA,NA,10055,2022
2022-07-15,10223,982126058790662,NA,NA,NA,2022
2022-07-15,10223,982091062746022,NA,NA,10593,2022
2022-07-15,10223,900043000201429,NA,NA,10593,2022
2022-07-15,10225,900067000117149,NA,NA,NA,2022
2022-07-15,10225,900043000201223,NA,NA,10593,2022
2022-07-15,10225,900043000201269,NA,NA,10593,2022
2022-07-15,10225,900043000201128,RKS34973,NA,10593,2022
2022-08-27,10223,982091062746103,RKS36409,NA,10593,2022
2022-08-27,10223,982091062745964,RKS36410,NA,10593,2022
2022-08-27,10223,982091062745643,RKS36411,NA,10593,2022
2022-08-27,10223,900043000164535,RKS36412,NA,10055,2022
2022-08-27,10223,900043000165119,RKS36413,NA,10593,2022
2022-08-27,10223,900043000164858,RKS36414,NA,10055,2022
2022-08-27,10223,982091062745716,RKS36415,NA,10593,2022
2022-08-27,10223,900043000200807,RKS36429,NA,NA,2022
2022-08-27,10223,900043000201299,RKS36431,NA,10593,2022
2022-08-27,10225,982091062746010,RKS36311,NA,10593,2022
2022-08-27,10225,900043000201269,RKS36312,NA,10593,2022
2022-08-27,10225,900043000164855,RKS36313,NA,10206,2022
2022-08-28,10223,900043000164858,NA,NA,10055,2022
2022-08-28,10223,900043000165152,RKS36319,NA,10593,2022
2022-08-28,10223,900043000201426,RKS36320,NA,10593,2022
2022-08-28,10223,900043000200807,NA,NA,NA,2022
2022-08-28,10223,982091062745643,NA,NA,10593,2022
2022-08-28,10223,900043000201299,NA,NA,10593,2022
2022-08-28,10223,900043000164535,NA,NA,10055,2022
2022-08-28,10223,982091062746103,NA,NA,10593,2022
2022-08-28,10223,900043000165119,NA,NA,10593,2022
2022-08-28,10225,900043000201401,RKS36554,NA,10593,2022
2022-08-28,10225,900043000201129,RKS36555,NA,10593,2022
2022-08-28,10225,900043000164855,NA,NA,10206,2022
2022-08-28,10225,900043000201269,NA,NA,10593,2022
2022-08-28,10225,900043000164527,RKS36556,NA,10206,2022
2022-08-28,10225,982091062746010,NA,NA,10593,2022
2022-08-28,10225,900043000201080,RKS36567,NA,10593,2022
2022-08-28,10225,982091062746034,RKS36568,NA,10593,2022
2022-08-29,10223,900043000164535,NA,NA,10055,2022
2022-08-29,10223,900043000165119,NA,NA,10593,2022
2022-08-29,10223,900043000164805,RKS36629,NA,10206,2022
2022-08-29,10223,900043000165152,NA,NA,10593,2022
2022-08-29,10223,900043000201426,NA,NA,10593,2022
2022-08-29,10223,900043000200807,NA,NA,NA,2022
2022-08-29,10223,982091062745643,NA,NA,10593,2022
2022-08-29,10223,900043000201410,RKS36630,NA,10593,2022
2022-08-29,10223,982126058791264,RKS36631,NA,NA,2022
2022-08-29,10223,982091062746022,RKS36632,NA,10593,2022
2022-08-29,10223,982091062746103,NA,NA,10593,2022
2022-08-29,10225,900043000201223,RKS36569,NA,10593,2022
2022-08-29,10225,900043000164855,NA,NA,10206,2022
2022-08-29,10225,982091062746010,NA,NA,10593,2022
2022-08-29,10225,900043000201080,NA,NA,10593,2022
2022-08-29,10225,900043000164527,NA,NA,10206,2022
2022-08-29,10225,900043000201269,NA,NA,10593,2022
2022-07-03,70481,900043000165133,RKS34598,NA,70567,2022
2022-07-03,70481,900043000164455,RKS34599,NA,70397,2022
2022-07-03,70481,900043000164731,RKS34600,NA,70567,2022
2022-07-04,70481,900043000164750,RKS34601,NA,70567,2022
2022-07-04,70481,900043000201194,RKS34602,NA,70567,2022
2022-07-04,70481,900043000164734,RKS34603,NA,70567,2022
2022-07-04,70481,900043000165133,NA,NA,70567,2022
2022-07-04,70481,900043000164455,NA,NA,70397,2022
2022-07-05,70481,900043000164750,NA,NA,70567,2022
2022-07-05,70481,900043000164731,NA,NA,70567,2022
2022-07-05,70481,900043000201194,NA,NA,70567,2022
2022-07-05,70481,900043000164444,RKS34616,NA,70397,2022
2022-07-05,70481,900043000165133,NA,NA,70567,2022
2022-07-05,70481,900043000164455,NA,NA,70397,2022
2022-07-05,70481,982000407072571,RKS34615,NA,70397,2022
2022-07-05,70481,900043000164412,RKS34617,NA,70397,2022
2022-08-18,70481,900043000164750,RKS36184,NA,70567,2022
2022-08-19,70481,900043000165136,RKS33871,NA,70567,2022
2022-07-03,70470,900043000164723,RKS34595,NA,70567,2022
2022-07-04,70470,900043000164733,RKS34622,NA,70567,2022
2022-08-19,70470,900043000165197,RKS36188,NA,70567,2022
2022-08-19,70470,982091064358209,RKS36189,NA,NA,2022
2022-08-20,70470,900043000165197,NA,NA,70567,2022
2023-08-30,10223,900043000201429,RKS36850,NA,10593,2023
2023-08-30,10223,900043000200807,RKS36851,NA,NA,2023
2023-08-30,10223,900043000201299,RKS36852,NA,10593,2023
2023-08-30,10223,900043000165119,RKS63853,NA,10593,2023
2023-08-30,10223,900043000201410,RKS36854,NA,10593,2023
2023-08-30,10223,982126058790662,RKS36855,NA,NA,2023
2023-08-30,10225,900043000201223,RKS36814,NA,10593,2023
2023-08-30,10225,900043000201269,RKS36815,NA,10593,2023
2023-08-30,10225,900067000117149,RKS36817,NA,NA,2023
2023-08-31,10223,900043000201429,NA,NA,10593,2023
2023-08-31,10223,900043000201410,NA,NA,10593,2023
2023-08-31,10225,900043000201010,RKS36819,NA,10593,2023
2023-08-29,70481,900043000164489,RKS37043,NA,70567,2023
2023-08-30,70481,900043000164731,RKS37044,NA,70567,2023
2023-08-30,70481,900043000164485,RKS37045,NA,70567,2023
2023-08-30,70481,900043000164765,RKS37177,NA,70567,2023
2023-08-31,70481,900043000164747,RKS37187,NA,70567,2023
2019-08-17,70481,900043000164724,RKS28886,0,70567,2019
2019-08-18,70470,900043000164753,RKS28887,209.752,70567,2019
2019-08-17,70470,900043000164719,RKS29050,0,70567,2019
2022-08-18,70481,NA,NA,NA,NA,2022
2019-08-18,70481,NA,NA,NA,NA,2019
2021-06-19,70470,NA,NA,NA,NA,2021
2021-06-17,70481,NA,NA,NA,NA,2021
2021-08-04,70470,NA,NA,NA,NA,2021
2019-08-18,70481,NA,NA,NA,NA,2019
2022-07-04,70470,NA,NA,NA,NA,2022
2022-07-05,70481,NA,NA,NA,NA,2022
2021-06-17,70470,NA,NA,NA,NA,2021
2021-08-04,70470,NA,NA,NA,NA,2021
2019-08-17,70470,NA,NA,NA,NA,2019
2020-08-10,70481,NA,NA,NA,NA,2020
2020-08-11,70481,NA,NA,NA,NA,2020
2022-08-20,70481,NA,NA,NA,NA,2022
2021-08-05,70470,NA,NA,NA,NA,2021
2020-08-10,70470,NA,NA,NA,NA,2020
2019-08-17,70481,NA,NA,NA,NA,2019
2020-08-12,70470,NA,NA,NA,NA,2020
2022-08-19,70470,NA,NA,NA,NA,2022
2022-07-03,70470,NA,NA,NA,NA,2022
2021-06-17,70470,NA,NA,NA,NA,2021
2021-08-05,70481,NA,NA,NA,NA,2021
2021-08-05,70470,NA,NA,NA,NA,2021
2022-07-03,70481,NA,NA,NA,NA,2022
2022-08-20,70481,NA,NA,NA,NA,2022
2021-06-18,70470,NA,NA,NA,NA,2021
2022-07-04,70481,NA,NA,NA,NA,2022
2022-08-20,70481,NA,NA,NA,NA,2022
2019-08-18,70470,NA,NA,NA,NA,2019
2021-06-19,70481,NA,NA,NA,NA,2021
2021-08-06,70481,NA,NA,NA,NA,2021
